epoch,categorical_accuracy,f1_score,loss,lr,precision,recall,val_categorical_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.11570527404546738,0.10597348213195801,5.031556606292725,1e-04,0.8202247023582458,0.008224425837397575,0.3851534426212311,0.3525756895542145,2.1925766468048096,0.7091836929321289,0.1568140834569931
1,0.3032061755657196,0.29731759428977966,3.5789051055908203,1e-04,0.8075689673423767,0.07094156742095947,0.5742663741111755,0.5541613101959229,1.4509567022323608,0.7763819098472595,0.41851016879081726
2,0.42931199073791504,0.4287105202674866,2.8744659423828125,1e-04,0.823279082775116,0.18532709777355194,0.6681715846061707,0.6607306599617004,1.1105587482452393,0.8039835691452026,0.5740406513214111
3,0.5063390731811523,0.5077076554298401,2.4128057956695557,1e-04,0.822821855545044,0.2852312922477722,0.710609495639801,0.7100791335105896,0.9545451998710632,0.814708411693573,0.6401805877685547
4,0.5737307667732239,0.5773067474365234,2.057873249053955,1e-04,0.8453556895256042,0.3810221552848816,0.7672685980796814,0.7661661505699158,0.7597541809082031,0.8457219004631042,0.7139954566955566
5,0.6176818609237671,0.6217204928398132,1.8275789022445679,1e-04,0.8472884893417358,0.4401870667934418,0.8110609650611877,0.8100677728652954,0.6388499736785889,0.866938591003418,0.767720103263855
6,0.6511523127555847,0.6538798809051514,1.670345664024353,1e-04,0.8593719005584717,0.4903363883495331,0.8180586695671082,0.8151222467422485,0.5775836110115051,0.8602941036224365,0.7923250794410706
7,0.6796078085899353,0.6838185787200928,1.4995477199554443,1e-04,0.8667944669723511,0.5349636673927307,0.8279909491539001,0.8269140124320984,0.5824441313743591,0.8740137815475464,0.8002257347106934
8,0.7024285793304443,0.7061589956283569,1.379015564918518,1e-04,0.8749569654464722,0.5724911093711853,0.8277652263641357,0.8256862163543701,0.6190775632858276,0.8574157953262329,0.8103837370872498
9,0.7631712555885315,0.7675087451934814,1.0985406637191772,4e-05,0.901046097278595,0.6552093029022217,0.8871331810951233,0.8873496055603027,0.35959088802337646,0.9137319922447205,0.8726862072944641
10,0.7842452526092529,0.787767767906189,1.0045324563980103,4e-05,0.9048678874969482,0.6871020197868347,0.8999999761581421,0.9017151594161987,0.3103239834308624,0.9249114394187927,0.8841986656188965
11,0.7893728613853455,0.7936169505119324,0.9615311026573181,4e-05,0.9088854789733887,0.7025976181030273,0.8981941342353821,0.9009935259819031,0.3369975984096527,0.9191280007362366,0.8851015567779541
12,0.8048120737075806,0.8090444207191467,0.8979728817939758,4e-05,0.9096355438232422,0.7186566591262817,0.9094808101654053,0.9109760522842407,0.3121441900730133,0.9283053874969482,0.9002257585525513
13,0.8241392970085144,0.8282960653305054,0.7987407445907593,1.6e-05,0.9215822219848633,0.7482954859733582,0.9200903177261353,0.9224337935447693,0.25125443935394287,0.9354689121246338,0.9097065329551697
14,0.8320842981338501,0.8360153436660767,0.7595648169517517,1.6e-05,0.9219678640365601,0.7602975368499756,0.918735921382904,0.9191945791244507,0.26769888401031494,0.9373398423194885,0.9083521366119385
15,0.8378881216049194,0.8411718010902405,0.7380737662315369,1.6e-05,0.9224417805671692,0.7680171132087708,0.9196388125419617,0.9219372272491455,0.2692018449306488,0.9363826513290405,0.9103837609291077
